ciudad,current,real_feal,air_quality,pollen,uv_index,precipitation,timestamp
"Zapopan, Jalisco, Mexico Weather Conditions",79 °F,77°,59,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:17:30
"Guadalajara, Jalisco, Mexico Weather Conditions",79 °F,77°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:18:01
"Zapopan, Jalisco, Mexico Weather Conditions",79 °F,77°,59,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:18:24
"Guadalajara, Jalisco, Mexico Weather Conditions",79 °F,77°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:23:02
"Guadalajara, Jalisco, Mexico Weather Conditions",79 °F,77°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:29:13
"Guadalajara, Jalisco, Mexico Weather Conditions",79 °F,77°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:30:14
"Zapopan, Jalisco, Mexico Weather Conditions",79 °F,77°,59,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:30:32
"Tlaquepaque, Jalisco, Mexico Weather Conditions",78 °F,76°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:30:50
"Tonalá, Jalisco, Mexico Weather Conditions",78 °F,78°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:31:08
"Tlajomulco de Zúñiga, Jalisco, Mexico Weather Conditions",76 °F,75°,56,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:31:37
"Guadalajara, Jalisco, Mexico Weather Conditions",78 °F,76°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:39:14
"Zapopan, Jalisco, Mexico Weather Conditions",77 °F,76°,59,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:39:31
"Tlaquepaque, Jalisco, Mexico Weather Conditions",77 °F,76°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:39:51
"Tonalá, Jalisco, Mexico Weather Conditions",76 °F,76°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:40:10
"Tlajomulco de Zúñiga, Jalisco, Mexico Weather Conditions",76 °F,75°,56,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:40:28
"Guadalajara, Jalisco, ",78 °F,76°,60,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:43:05
"Zapopan, Jalisco, ",77 °F,76°,59,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-16 20:43:23
