,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max
0,2010-01-01 00:00:00+00:00,23.3635,11.513499,17.917667,0.0,0.0,0.0,0.0,14.044615
1,2010-01-02 00:00:00+00:00,21.6135,12.563499,15.230165,2.5000002,2.5000002,0.0,6.0,6.2145634
2,2010-01-03 00:00:00+00:00,19.8635,9.313499,13.288501,2.0,2.0,0.0,6.0,5.8603754
3,2010-01-04 00:00:00+00:00,20.1135,10.1135,15.0885,0.0,0.0,0.0,0.0,10.8955765
4,2010-01-05 00:00:00+00:00,19.063501,8.7135,13.567666,0.0,0.0,0.0,0.0,11.183201
5,2010-01-06 00:00:00+00:00,20.063501,12.2135,15.676,0.0,0.0,0.0,0.0,5.0528407
6,2010-01-07 00:00:00+00:00,20.3635,12.2135,15.867665,0.0,0.0,0.0,0.0,5.5887027
7,2010-01-08 00:00:00+00:00,19.3635,11.763499,14.744752,0.0,0.0,0.0,0.0,9.085988
8,2010-01-09 00:00:00+00:00,20.1635,8.9635,14.409333,0.0,0.0,0.0,0.0,10.587917
9,2010-01-10 00:00:00+00:00,19.563501,7.8635,13.813499,0.0,0.0,0.0,0.0,11.542478
10,2010-01-11 00:00:00+00:00,18.5135,8.563499,13.296833,0.0,0.0,0.0,0.0,9.779817
11,2010-01-12 00:00:00+00:00,18.563501,10.9135,14.848916,0.70000005,0.70000005,0.0,3.0,6.9247384
12,2010-01-13 00:00:00+00:00,18.963501,7.9635005,13.148917,0.6,0.6,0.0,5.0,9.826088
13,2010-01-14 00:00:00+00:00,19.8635,8.013499,13.690583,0.0,0.0,0.0,0.0,23.770906
14,2010-01-15 00:00:00+00:00,17.4135,8.1635,12.80725,0.0,0.0,0.0,0.0,25.959969
15,2010-01-16 00:00:00+00:00,18.8635,5.2635,10.607249,0.0,0.0,0.0,0.0,14.372974
16,2010-01-17 00:00:00+00:00,20.563501,7.6135,13.961417,0.0,0.0,0.0,0.0,16.08761
17,2010-01-18 00:00:00+00:00,22.4135,8.9635,14.96975,0.0,0.0,0.0,0.0,11.753876
18,2010-01-19 00:00:00+00:00,23.813501,10.8635,16.798918,0.0,0.0,0.0,0.0,10.041354
19,2010-01-20 00:00:00+00:00,24.5135,10.7135,16.271833,0.0,0.0,0.0,0.0,13.896187
20,2010-01-21 00:00:00+00:00,24.6135,10.513499,16.680168,0.0,0.0,0.0,0.0,11.440978
21,2010-01-22 00:00:00+00:00,24.9135,10.6635,16.942667,0.0,0.0,0.0,0.0,9.565437
22,2010-01-23 00:00:00+00:00,24.713501,10.013499,17.0885,0.0,0.0,0.0,0.0,15.84409
23,2010-01-24 00:00:00+00:00,25.813501,10.7135,16.63225,0.0,0.0,0.0,0.0,12.9249525
24,2010-01-25 00:00:00+00:00,25.6635,9.6135,17.569752,0.0,0.0,0.0,0.0,9.511088
25,2010-01-26 00:00:00+00:00,25.213501,11.6635,17.221834,0.0,0.0,0.0,0.0,8.557102
26,2010-01-27 00:00:00+00:00,24.213501,11.7135,17.278084,0.0,0.0,0.0,0.0,12.303366
27,2010-01-28 00:00:00+00:00,24.063501,12.013499,17.109335,0.0,0.0,0.0,0.0,13.896187
28,2010-01-29 00:00:00+00:00,24.0135,11.6135,16.861414,0.0,0.0,0.0,0.0,12.031756
29,2010-01-30 00:00:00+00:00,23.6135,12.1135,17.313501,0.0,0.0,0.0,0.0,16.575644
30,2010-01-31 00:00:00+00:00,21.3635,11.3635,16.298918,2.4,2.4,0.0,3.0,17.555307
31,2010-02-01 00:00:00+00:00,19.213501,9.763499,13.36975,5.6,5.6,0.0,19.0,7.42159
32,2010-02-02 00:00:00+00:00,17.713501,11.263499,13.232249,17.8,17.8,0.0,17.0,6.2145634
33,2010-02-03 00:00:00+00:00,13.6635,10.9135,12.578083,65.5,65.5,0.0,24.0,13.849477
34,2010-02-04 00:00:00+00:00,17.5135,10.1135,12.409333,21.199999,21.199999,0.0,16.0,21.129883
